ID,Audience,Type_of_Service,Category,Service_name,Entity_type,Entity,Entity_acronym,Description,Info_link,Service_link,In_person_kiosk,Phone,Fax,In_Person_Office,PDF,Required_Form,Email,Mail,Source
21,Individual,Essential help,Health,Prescription medicine help,Federal,U.S. Department of Health and Human Services,US HHS,Get the prescriptions you need through the Emergency Prescription Assistance Program.,https://aspr.hhs.gov/epap/Pages/default.aspx,,,,,,,,,,Website / Checklist
22,Individual,Essential help,Housing,Temporary housing,Federal,Federal Emergency Management Agency,FEMA,"Apply by March 31, 2025, for FEMA disaster assistance to get 14 days to several months of temporary housing support. This can include rental assistance and hotel or other short-term lodging reimbursement.",https://www.fema.gov/assistance/individual/sheltering-housing-options,https://www.disasterassistance.gov/,,,,,,,,,Website / Checklist
23,Individual,Essential help,Individual help,FEMA disaster assistance,Federal,Federal Emergency Management Agency,FEMA,"Apply by March 31, 2025 for FEMA disaster assistance. Get help with losses not covered by insurance — including temporary housing, repairs, and rebuilding.",https://www.fema.gov/assistance/individual,https://www.disasterassistance.gov/DAC-RI/,,1-800-621-3362,,,,,,,Website / Checklist
25,Business,Business help,Support,Disaster loans for businesses,Federal,U.S. Small Business Administration,US SBA,"Apply by March 31, 2025, for a loan to repair physical damage to your business. Businesses of any size can apply. Apply by October 25, 2025, for a loan to cover economic losses to your small business.",https://www.sba.gov/funding-programs/disaster-assistance/california-wildfires,,,,,,,,,,Website / Checklist
26,Business,Business help,Tax help and relief,Business use tax or fee extension and relief,State,California Department of Tax and Fee Administration,CDTFA,"Get relief from penalties, collection costs, and interest. You can also get up to a 3-month filing extension on your tax returns.",https://www.cdtfa.ca.gov/services/state-of-emergency-tax-relief.htm,https://onlineservices.cdtfa.ca.gov/_/,,1-800-400-7115,,,,,,,Website / Checklist
27,Business,Business help,Tax help and relief,Business income tax extension,State,California Franchise Tax Board,FTB,"Learn about the extended deadline to file and pay business income tax in Los Angeles County. The new deadline is October 15, 2025.",https://www.ftb.ca.gov/file/when-to-file/los-angeles-county-fires.html,,,1-888-825-9868,,,,,FTBLACountyDisasterRelief@ftb.ca.gov,,Website / Checklist
28,Business,Business help,Tax help and relief,Employer payroll tax and reporting extension,State,California Employment Development Department,EDD,"Get an extension of up to two months to file state payroll reports and deposit state payroll taxes, without penalty or interest. ",https://edd.ca.gov/en/payroll_taxes/Emergency_and_Disaster_Assistance_for_Employers/,https://edd.ca.gov/en/Payroll_Taxes/e-Services_for_Business,,1-888-745-3886,,,,,,"Employment Development Department
PO Box 826880
Sacramento, CA 94280-0001",Website / Checklist
30,Business,Business help,Support,Business recovery resources,State,California Office of the Small Business Advocate,CalOSBA,"CalOSBA offers resources and support for businesses and workers impacted by the wildfires. This includes financial help, recovery programs, and workforce support.",https://outsmartdisaster.calosba.ca.gov/support-and-resources-for-los-angeles-area-wildfire-recovery/,,,,,,,,,,Website / Checklist
31,Individual,Start recovering,Employment,Unemployment Insurance,State,California Employment Development Department,EDD,"If you lost your job, apply for unemployment benefits.",https://edd.ca.gov/en/unemployment/disaster_unemployment_assistance,https://edd.ca.gov/en/unemployment/ui_online/,,1-833-998-2284,,,,,,,Website / Checklist
32,Individual,Start recovering,Employment,Disability Insurance,State,California Employment Development Department,EDD,"If you are sick or injured from the fires, apply for disability benefits.",https://edd.ca.gov/en/disability/disability_insurance/,https://edd.ca.gov/en/myedd/,,1-833-998-2284,,https://edd.ca.gov/en/Office_Locator/,,,,,Website / Checklist
33,Individual,Start recovering,Employment,Paid Family Leave,State,California Employment Development Department,EDD,"If you need time off work to care for your family, apply for Paid Family Leave.",https://edd.ca.gov/en/disability/paid-family-leave/,https://edd.ca.gov/en/myedd/,,1-833-998-2284,,https://edd.ca.gov/en/Office_Locator/,,,,,Website / Checklist
34,Individual,Start recovering,Employment,Job search resources,State,California Employment Development Department,EDD,Find job search tools like CalJOBS and other resources to help you find employment.,https://edd.ca.gov/en/jobs/,https://www.caljobs.ca.gov/vosnet/default.aspx,,,,https://edd.ca.gov/en/Office_Locator/,,,,,Website / Checklist
35,Individual,Start recovering,Employment,Job training,State,California Employment Development Department,EDD,"General support, referrals, and training to find a new job in California.",https://edd.ca.gov/en/jobs_and_training/Training_Information/,,,,,,,,,,Website / Checklist
36,Individual,Start recovering,Employment,Find a job on CalJOBS,State,California Employment Development Department,EDD,"Apply for a new job on CalJOBS, California’s online job exchange system.",https://www.caljobs.ca.gov/vosnet/default.aspx,,,,,,,,,,Website / Checklist
37,Individual,Essential help,Food,WIC food benefits for women and children,State,California Department of Public Health,CDPH,"Get monthly benefits from the California Women, Infants and Children (WIC) program. Use these benefits to buy food for yourself and your children. You can also get nutrition and breastfeeding support.",https://myfamily.wic.ca.gov/Home/HowCanIGetWIC#HowCanIGetWIC,,,1-800-852-5770,,,,,,,Website / Checklist
38,Individual,Essential help,Food,CalFresh food benefits,State,California Department of Social Services,CDSS,CalFresh can help your family get access to healthy food. You can use monthly CalFresh benefits at most grocery stores and even farmers markets.,https://benefitscal.com/Help/program/calfresh/HCPDE?lang=en,https://benefitscal.com/ApplyForBenefits/begin/ABOVR?lang=en,,1-866-488-8482,,,,,,,Website / Checklist
39,Individual,Essential help,Food,Food banks and food pantries,State,California Department of Social Services,CDSS,Find locations near you where you can get free food and groceries.,https://cdss.ca.gov/food-banks,,,,,,,,,,Website / Checklist
41,Individual,Essential help,Health,Mental health resources,State,California Department of Public Health,CDPH,Find resources and tips to take care of your mental health after a wildfire.,https://www.cdph.ca.gov/Programs/EPO/Pages/Wildfire%20Pages/Wildfires--Mental-Health.aspx,,,,,,,,,,Website / Checklist
42,Individual,Essential help,Housing,Open shelters,State,California Governor's Office of Emergency Services,CalOES,Find a current list of open shelters available for communities impacted by the fires.,https://news.caloes.ca.gov/shelters-available-for-communities-impacted-by-wildfires-in-southern-california-5/,,,,,,,,,,Website / Checklist
43,Individual,Essential help,Housing,Mortgage relief,State,California Department of Financial Protection & Innovation,DFPI,"Get mortgage relief for structures damaged or destroyed by the LA fires. Temporarily reduce or pause mortgage payments, waive late fees, and more. ",https://dfpi.ca.gov/lafires/relief/,,,,,,,,,,Website / Checklist
