target,source,manual,service
/departments/100/,/Agencies/cannabis-control-department-of,0,0
/departments/100/,/agency/?item=department-of-cannabis-control,0,0
/departments/100/services/1281/,/Agencies/cannabis-control-department-of/Agency-Services/applying-for-a-cannabis-license,0,1
/departments/100/services/1281/,/service/?item=applying-for-a-cannabis-license,0,1
/departments/101/,/Agencies/achieving-a-better-life-experience-california,0,0
/departments/101/,/agency/?item=california-achieving-a-better-life-experience,0,0
/departments/101/services/1182/,/Agencies/achieving-a-better-life-experience-california/Agency-Services/calable-visa-prepaid-card,0,1
/departments/101/services/1182/,/service/?item=calable-visa-prepaid-card,0,1
/departments/103/,/Agencies/health-facilities-financing-authority-california,0,0
/departments/103/,/agency/?item=california-health-facilities-financing-authority,0,0
/departments/104/,/Agencies/healthy-food-financing-initiative-council-california,0,0
/departments/104/,/agency/?item=california-healthy-food-financing-initiative-council,0,0
/departments/105/,/Agencies/pollution-control-financing-authority-california,0,0
/departments/105/,/agency/?item=california-pollution-control-financing-authority,0,0
/departments/106/,/Agencies/school-finance-authority-california,0,0
/departments/106/,/agency/?item=california-school-finance-authority,0,0
/departments/107/,/Agencies/tax-credit-allocation-committee-california,0,0
/departments/107/,/agency/?item=california-tax-credit-allocation-committee,0,0
/departments/110/,/Agencies/pooled-money-investment-board,0,0
/departments/110/,/agency/?item=pooled-money-investment-board,0,0
/departments/131/,/Agencies/alcoholic-beverage-control-department-of,0,0
/departments/131/,/agency/?item=department-of-alcoholic-beverage-control,0,0
/departments/131/services/1198/,/Agencies/alcoholic-beverage-control-department-of/Agency-Services/look-up-an-acohol-license,0,1
/departments/131/services/1198/,/service/?item=look-up-an-acohol-license,0,1
/departments/132/,/Agencies/alcoholic-beverage-control-appeals-board,0,0
/departments/132/,/agency/?item=alcoholic-beverage-control-appeals-board,0,0
/departments/133/,/Agencies/aging-department-of,0,0
/departments/133/,/agency/?item=department-of-aging,0,0
/departments/133/services/1254/,/Agencies/aging-department-of/Agency-Services/food-%26-nutrition,0,1
/departments/133/services/1254/,/service/?item=food-%26-nutrition,0,1
/departments/133/services/1255/,/Agencies/aging-department-of/Agency-Services/adult-day-health-centers,0,1
/departments/133/services/1255/,/service/?item=adult-day-health-centers,0,1
/departments/133/services/1256/,/Agencies/aging-department-of/Agency-Services/home-%26-community-services,0,1
/departments/133/services/1256/,/service/?item=home-%26-community-services,0,1
/departments/133/services/1257/,/Agencies/aging-department-of/Agency-Services/family-caregiver-services,0,1
/departments/133/services/1257/,/service/?item=family-caregiver-services,0,1
/departments/133/services/1258/,/Agencies/aging-department-of/Agency-Services/medicare-counseling,0,1
/departments/133/services/1258/,/service/?item=medicare-counseling,0,1
/departments/133/services/1259/,/Agencies/aging-department-of/Agency-Services/legal-services,0,1
/departments/133/services/1259/,/service/?item=legal-services,0,1
/departments/134/,/Agencies/agricultural-labor-relations-board,0,0
/departments/134/,/agency/?item=agricultural-labor-relations-board,0,0
/departments/135/,/Agencies/air-resources-board,0,0
/departments/135/,/agency/?item=air-resources-board,0,0
/departments/135/services/1199/,/Agencies/air-resources-board/Agency-Services/ca-clean-truck-check,0,1
/departments/135/services/1199/,/service/?item=ca-clean-truck-check,0,1
/departments/136/,/Agencies/assembly-california-state,0,0
/departments/136/,/agency/?item=california-state-assembly,0,0
/departments/137/,/Agencies/automotive-repair-bureau-of,0,0
/departments/137/,/agency/?item=bureau-of-automotive-repair,0,0
/departments/137/services/6/,/Agencies/automotive-repair-bureau-of/Agency-Services/find-a-smog-station,0,1
/departments/137/services/6/,/service/?item=find-a-smog-station,0,1
/departments/137/services/7/,/Agencies/automotive-repair-bureau-of/Agency-Services/look-up-auto-repair-dealer-license,0,1
/departments/137/services/7/,/service/?item=look-up-auto-repair-dealer-license,0,1
/departments/138/,/Agencies/san-francisco-bay-conservation-and-development-commission,0,0
/departments/138/,/agency/?item=san-francisco-bay-conservation-and-development-commission,0,0
/departments/138/services/1229/,/Agencies/san-francisco-bay-conservation-and-development-commission/Agency-Services/permits,0,1
/departments/138/services/1229/,/service/?item=permits,0,1
/departments/139/,/Agencies/business-consumer-services-and-housing-agency-california,0,0
/departments/139/,/agency/?item=california-business%2c-consumer-services%2c-and-housing-agency,0,0
/departments/139/services/1175/,/Agencies/business-consumer-services-and-housing-agency-california/Agency-Services/ca-covid-19-rent-relief,0,1
/departments/139/services/1175/,/service/?item=ca-covid-19-rent-relief,0,1
/departments/140/,/Agencies/baldwin-hills-conservancy,0,0
/departments/140/,/agency/?item=baldwin-hills-conservancy,0,0
/departments/141/,/Agencies/equalization-board-of,0,0
/departments/141/,/agency/?item=board-of-equalization,0,0
/departments/142/,/Agencies/pilot-commissioners-for-the-bays-of-san-francisco-san-pablo-and-suisun-board-of,0,0
/departments/142/,/agency/?item=board-of-pilot-commissioners-for-the-bays-of-san-francisco%2c-san-pablo%2c-and-suisun,0,0
/departments/143/,/Agencies/auditor-california-state,0,0
/departments/143/,/agency/?item=california-state-auditor,0,0
/departments/144/,/Agencies/arts-council-california,0,0
/departments/144/,/agency/?item=california-arts-council,0,0
/departments/145/,/Agencies/high-speed-rail-authority,0,0
/departments/145/,/agency/?item=high-speed-rail-authority,0,0
/departments/146/,/Agencies/exposition-and-state-fair-california,0,0
/departments/146/,/agency/?item=california-exposition-and-state-fair,0,0
/departments/147/,/Agencies/forestry-and-fire-protection-california-department-of,0,0
/departments/147/,/agency/?item=california-department-of-forestry-and-fire-protection,0,0
/departments/147/services/1239/,/Agencies/forestry-and-fire-protection-california-department-of/Agency-Services/campfire-permit,0,1
/departments/147/services/1239/,/service/?item=campfire-permit,0,1
